Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Disease
cutting_headache,bad_balance,troubled_stomach,multiple_retching,light_ache,migraine
slicing_headache,weak_balance,distressed_stomach,repeated_retching,light_discomfort,migraine
burning_headache,failing_balance,agitated_stomach,continuous_retching,light_sensitivity,migraine
searing_headache,lost_balance,irritated_stomach,persistent_retching,light_aversion,migraine
scorching_headache,impaired_balance,inflamed_stomach,constant_retching,light_rejection,migraine
blazing_headache,damaged_balance,swollen_stomach,frequent_heaving,light_refusal,migraine
fiery_headache,broken_balance,enlarged_stomach,multiple_heaving,light_denial,migraine
flaming_headache,ruined_balance,expanded_stomach,repeated_heaving,light_opposition,migraine
scorching_head_pain,destroyed_balance,bloated_stomach,continuous_heaving,light_resistance,migraine
burning_head_pain,wrecked_balance,distended_stomach,persistent_heaving,light_hostility,migraine
skull_pressure,equilibrium_loss,gastric_distress,bile_expulsion,photosensitivity,migraine
cranial_pain,spatial_disorientation,digestive_upset,stomach_emptying,luminous_intolerance,migraine
cephalic_ache,postural_instability,alimentary_disturbance,gastric_evacuation,brightness_aversion,migraine
head_throbbing,motor_imbalance,intestinal_discomfort,digestive_ejection,illumination_sensitivity,migraine
temple_pain,vestibular_dysfunction,abdominal_unease,alimentary_expulsion,radiance_intolerance,migraine
chest_pain,shortness_of_breath,dizziness,fatigue,nausea,heart_attack
crushing_chest_pain,difficulty_breathing,lightheadedness,weakness,vomiting,heart_attack
severe_chest_pain,breathlessness,vertigo,exhaustion,sick_feeling,heart_attack
squeezing_chest_pain,labored_breathing,faintness,extreme_fatigue,nauseous,heart_attack
sharp_chest_pain,cannot_breathe,spinning_sensation,complete_exhaustion,throwing_up,heart_attack
stabbing_chest_pain,gasping_for_air,wobbly_feeling,total_weakness,retching,heart_attack
piercing_chest_pain,struggling_to_breathe,unsteadiness,maximum_fatigue,heaving,heart_attack
burning_chest_pain,fighting_for_breath,balance_problems,peak_exhaustion,gagging,heart_attack
searing_chest_pain,desperate_for_air,shaky_balance,ultimate_weakness,choking,heart_attack
intense_chest_pain,oxygen_hunger,poor_balance,supreme_fatigue,dry_heaving,heart_attack
excruciating_chest_pain,air_starvation,bad_balance,maximum_tiredness,violent_retching,heart_attack
unbearable_chest_pain,breath_shortage,weak_balance,peak_weakness,severe_nausea,heart_attack
agonizing_chest_pain,respiratory_distress,failing_balance,ultimate_exhaustion,intense_sickness,heart_attack
torturous_chest_pain,breathing_crisis,lost_balance,supreme_tiredness,overwhelming_nausea,heart_attack
devastating_chest_pain,suffocating_feeling,impaired_balance,maximum_lethargy,crushing_sickness,heart_attack
overwhelming_chest_pain,choking_sensation,damaged_balance,peak_lethargy,debilitating_nausea,heart_attack
paralyzing_chest_pain,strangling_feeling,broken_balance,ultimate_lethargy,paralyzing_sickness,heart_attack
crippling_chest_pain,smothering_sensation,ruined_balance,supreme_weakness,crippling_nausea,heart_attack
disabling_chest_pain,stifling_feeling,destroyed_balance,complete_fatigue,disabling_sickness,heart_attack
immobilizing_chest_pain,throttling_sensation,wrecked_balance,total_tiredness,immobilizing_nausea,heart_attack
cardiac_pressure,respiratory_limitation,postural_instability,energy_depletion,gastric_rejection,heart_attack
thoracic_compression,pulmonary_restriction,gravitational_disorientation,vitality_exhaustion,alimentary_reversal,heart_attack
pectoral_constriction,ventilatory_impairment,spatial_confusion,stamina_depletion,digestive_expulsion,heart_attack
mammary_tension,breathing_constraint,equilibrium_disruption,vigor_drainage,stomach_evacuation,heart_attack
intercostal_pressure,oxygen_deprivation,balance_disturbance,strength_exhaustion,gastric_ejection,heart_attack
abdominal_pain,nausea,vomiting,diarrhea,fever,food_poisoning
severe_stomach_pain,intense_nausea,frequent_vomiting,loose_stools,low_fever,food_poisoning
cramping_pain,queasiness,retching,watery_diarrhea,mild_fever,food_poisoning
sharp_abdominal_pain,overwhelming_nausea,projectile_vomiting,bloody_diarrhea,high_fever,food_poisoning
stomach_cramps,sickness_feeling,throwing_up,frequent_bowel_movements,temperature,food_poisoning
intestinal_cramps,queasy_stomach,heaving,multiple_bowel_movements,elevated_temperature,food_poisoning
gut_cramps,sick_stomach,gagging,repeated_bowel_movements,rising_temperature,food_poisoning
belly_cramps,upset_stomach,choking,continuous_bowel_movements,high_temperature,food_poisoning
digestive_cramps,disturbed_stomach,dry_heaving,persistent_bowel_movements,spiking_temperature,food_poisoning
gastric_cramps,unsettled_stomach,violent_retching,constant_bowel_movements,fluctuating_temperature,food_poisoning
visceral_cramps,troubled_stomach,severe_nausea,frequent_diarrhea,variable_temperature,food_poisoning
colicky_cramps,distressed_stomach,intense_sickness,multiple_diarrhea,changing_temperature,food_poisoning
spasmodic_cramps,agitated_stomach,overwhelming_nausea,repeated_diarrhea,shifting_temperature,food_poisoning
rhythmic_cramps,irritated_stomach,crushing_sickness,continuous_diarrhea,alternating_temperature,food_poisoning
pulsing_cramps,inflamed_stomach,debilitating_nausea,persistent_diarrhea,varying_temperature,food_poisoning
throbbing_cramps,swollen_stomach,paralyzing_sickness,constant_loose_stools,unstable_temperature,food_poisoning
pounding_cramps,enlarged_stomach,crippling_nausea,frequent_liquid_stools,irregular_temperature,food_poisoning
beating_cramps,expanded_stomach,disabling_sickness,multiple_liquid_stools,erratic_temperature,food_poisoning
hammering_cramps,bloated_stomach,immobilizing_nausea,repeated_liquid_stools,unpredictable_temperature,food_poisoning
pulsating_cramps,distended_stomach,incapacitating_sickness,continuous_liquid_stools,random_temperature,food_poisoning
gastric_distress,digestive_rejection,alimentary_evacuation,intestinal_liquefaction,thermal_elevation,food_poisoning
alimentary_spasms,stomach_rebellion,gastric_expulsion,bowel_liquefaction,temperature_spike,food_poisoning
intestinal_contractions,digestive_revolt,alimentary_ejection,intestinal_fluid_loss,fever_response,food_poisoning
abdominal_convulsions,gastric_uprising,stomach_emptying,digestive_liquefaction,pyretic_reaction,food_poisoning
visceral_contractions,alimentary_rejection,digestive_purging,bowel_fluid_release,hyperthermia,food_poisoning
skin_rash,itching,swelling,redness,dry_skin,eczema
scaly_rash,intense_itching,inflammation,erythema,flaky_skin,eczema
bumpy_rash,scratching_urge,puffiness,pink_skin,rough_skin,eczema
patchy_rash,severe_itching,skin_swelling,irritated_skin,cracked_skin,eczema
weeping_rash,constant_itching,raised_skin,red_patches,thickened_skin,eczema
crusty_rash,persistent_itching,puffy_skin,inflamed_areas,leathery_skin,eczema
flaky_rash,uncontrollable_itching,swollen_skin,red_spots,hardened_skin,eczema
peeling_rash,overwhelming_itching,enlarged_skin,crimson_patches,toughened_skin,eczema
blistering_rash,compulsive_itching,expanded_skin,scarlet_areas,coarse_skin,eczema
oozing_rash,desperate_itching,bloated_skin,ruby_spots,brittle_skin,eczema
raw_rash,urgent_itching,distended_skin,vermillion_patches,fragile_skin,eczema
angry_rash,critical_itching,stretched_skin,burgundy_areas,delicate_skin,eczema
inflamed_rash,essential_itching,taut_skin,maroon_spots,sensitive_skin,eczema
irritated_rash,vital_itching,tight_skin,rust_patches,tender_skin,eczema
burning_rash,crucial_itching,constricted_skin,copper_areas,vulnerable_skin,eczema
stinging_rash,fundamental_itching,compressed_skin,bronze_spots,weak_skin,eczema
painful_rash,primary_itching,contracted_skin,orange_patches,thin_skin,eczema
sore_rash,basic_itching,reduced_skin,yellow_areas,fine_skin,eczema
tender_rash,core_itching,shrunken_skin,golden_spots,delicate_tissue,eczema
sensitive_rash,main_itching,diminished_skin,amber_patches,fragile_tissue,eczema
dermal_eruption,pruritic_sensation,tissue_enlargement,chromatic_alteration,epidermal_desiccation,eczema
cutaneous_lesion,scratching_compulsion,dermal_expansion,pigmentation_change,skin_dehydration,eczema
epidermal_outbreak,itching_impulse,tissue_distention,color_variation,cutaneous_drought,eczema
skin_manifestation,pruritic_urge,dermal_inflation,hue_modification,epidermal_aridity,eczema
cutaneous_expression,scratching_need,tissue_bloating,shade_transformation,skin_moisture_loss,eczema
